date,value
11/12/2025,491
11/12/2025,640
11/12/2025,0
11/12/2025,223
11/12/2025,315
11/12/2025,524
11/12/2025,216
11/12/2025,837
11/12/2025,569
11/12/2025,324
11/12/2025,254
11/12/2025,412

11/12/2025,94
11/12/2025,750
11/12/2025,77
11/12/2025,170
11/12/2025,1064
11/12/2025,178

,
11/12/2025,0
11/11/2025,468
11/11/2025,1205
11/11/2025,1512
11/11/2025,243
11/11/2025,1064
11/11/2025,589
,0
11/11/2025,818
,0
,0
11/11/2025,858
11/11/2025,791
,0
,0
11/11/2025,383
,0
11/11/2025,1
11/11/2025,431
11/11/2025,801
,0
11/11/2025,392
,0
11/11/2025,9
,0
,0
11/11/2025,154
11/11/2025,530
11/11/2025,420
,0
,
,
11/10/2025,343
11/10/2025,179
11/10/2025,69
,
11/10/2025,720
,0
11/10/2025,235
11/10/2025,352
11/10/2025,898
11/10/2025,283
11/10/2025,973
11/10/2025,793
11/10/2025,66
,0
11/10/2025,218
,
,0
,0
,0
,0
11/10/2025,256
,0
11/10/2025,138
11/10/2025,698
11/10/2025,478
11/10/2025,422
11/10/2025,538
11/10/2025,216
11/10/2025,384
,0
11/7/2025,607
11/7/2025,1606
11/7/2025,777
11/7/2025,940
11/7/2025,742
11/7/2025,406
11/7/2025,121
11/7/2025,74
11/7/2025,1061
,0
,0
,0
,0
11/7/2025,434
11/7/2025,749
11/7/2025,153
11/7/2025,462
11/7/2025,498
11/7/2025,228
11/7/2025,96
,0
11/7/2025,400
11/7/2025,2814
,0
11/6/2025,75
,0
,0
,0
11/6/2025,591
11/6/2025,1383
11/6/2025,669
11/6/2025,173
11/6/2025,701
,0
,0
11/6/2025,7
,0
,0
11/6/2025,139
11/6/2025,371
,0
11/6/2025,543
11/6/2025,5
11/6/2025,315
11/6/2025,861
11/6/2025,1069
11/6/2025,148
11/6/2025,240
11/6/2025,1474
,
11/6/2025,416
11/6/2025,193
11/6/2025,1051
,0
11/6/2025,250
11/6/2025,840
11/5/2025,490
,0
11/5/2025,66
11/5/2025,870
11/5/2025,56
11/5/2025,575
,0
,0
,0
,0
,0
11/5/2025,675
11/5/2025,240
5 12:40 PM,0
,
11/5/2025,338
11/5/2025,354
,0
,
11/5/2025,590
11/5/2025,133
,0
,0
,0
11/5/2025,639
11/5/2025,73
11/5/2025,318
11/5/2025,2701
,0
,0
,0
,0
,0
11/4/2025,1966
11/4/2025,183
11/4/2025,158
11/4/2025,1436
11/4/2025,881
11/4/2025,295
11/4/2025,193
,0
,
